currency_code,rate,date 
AED,16.0034,2025-11-01
AED,16.0034,2025-11-02
AED,16.0034,2025-11-03
AED,15.9969,2025-11-04
AED,16.015,2025-11-05
AED,16.0245,2025-11-06
AED,16.0331,2025-11-07
AED,16.0331,2025-11-08
AED,16.0331,2025-11-09
AED,16.039,2025-11-10
AED,16.041,2025-11-11
AED,16.0457,2025-11-12
AED,16.047,2025-11-13
AED,16.0495,2025-11-14
AED,16.0495,2025-11-15
AED,16.0495,2025-11-16
AED,16.0486,2025-11-17
AED,16.042,2025-11-18
AED,16.039,2025-11-19
AED,16.0398,2025-11-20
AED,16.0824,2025-11-21
AED,16.0824,2025-11-22
AED,16.0824,2025-11-23
AED,16.0613,2025-11-24
AED,16.0419,2025-11-25
AED,16.038,2025-11-26
AED,16.022,2025-11-27
AED,16.0087,2025-11-28
AED,16.0087,2025-11-29
AED,16.0087,2025-11-30
ARS,0.0407,2025-11-01
ARS,0.0407,2025-11-02
ARS,0.0407,2025-11-03
ARS,0.0397,2025-11-04
ARS,0.0401,2025-11-05
ARS,0.0404,2025-11-06
ARS,0.0406,2025-11-07
ARS,0.0406,2025-11-08
ARS,0.0406,2025-11-09
ARS,0.0411,2025-11-10
ARS,0.0416,2025-11-11
ARS,0.042,2025-11-12
ARS,0.042,2025-11-13
ARS,0.0421,2025-11-14
ARS,0.0421,2025-11-15
ARS,0.0421,2025-11-16
ARS,0.042,2025-11-17
ARS,0.0418,2025-11-18
ARS,0.0419,2025-11-19
ARS,0.0419,2025-11-20
ARS,0.0415,2025-11-21
ARS,0.0415,2025-11-22
ARS,0.0415,2025-11-23
ARS,0.0414,2025-11-24
ARS,0.0414,2025-11-25
ARS,0.0407,2025-11-26
ARS,0.0406,2025-11-27
ARS,0.0406,2025-11-28
ARS,0.0406,2025-11-29
ARS,0.0406,2025-11-30
AUD,38.4539,2025-11-01
AUD,38.4539,2025-11-02
AUD,38.4539,2025-11-03
AUD,38.4081,2025-11-04
AUD,38.3115,2025-11-05
AUD,38.214,2025-11-06
AUD,38.1418,2025-11-07
AUD,38.1418,2025-11-08
AUD,38.1418,2025-11-09
AUD,38.245,2025-11-10
AUD,38.316,2025-11-11
AUD,38.4525,2025-11-12
AUD,38.412,2025-11-13
AUD,38.4615,2025-11-14
AUD,38.4615,2025-11-15
AUD,38.4615,2025-11-16
AUD,38.4859,2025-11-17
AUD,38.391,2025-11-18
AUD,38.2145,2025-11-19
AUD,38.1482,2025-11-20
AUD,38.0208,2025-11-21
AUD,38.0208,2025-11-22
AUD,38.0208,2025-11-23
AUD,38.1109,2025-11-24
AUD,38.0761,2025-11-25
AUD,38.0861,2025-11-26
AUD,38.211,2025-11-27
AUD,38.4088,2025-11-28
AUD,38.4088,2025-11-29
AUD,38.4088,2025-11-30
BHD,151.2721,2025-11-01
BHD,151.2721,2025-11-02
BHD,151.2721,2025-11-03
BHD,151.1306,2025-11-04
BHD,151.3413,2025-11-05
BHD,151.4883,2025-11-06
BHD,151.5284,2025-11-07
BHD,151.5284,2025-11-08
BHD,151.5284,2025-11-09
BHD,151.5947,2025-11-10
BHD,151.5794,2025-11-11
BHD,151.6443,2025-11-12
BHD,151.7259,2025-11-13
BHD,151.7214,2025-11-14
BHD,151.7214,2025-11-15
BHD,151.7214,2025-11-16
BHD,151.7136,2025-11-17
BHD,151.6705,2025-11-18
BHD,151.5434,2025-11-19
BHD,151.5833,2025-11-20
BHD,151.9429,2025-11-21
BHD,151.9429,2025-11-22
BHD,151.9429,2025-11-23
BHD,151.8155,2025-11-24
BHD,151.7042,2025-11-25
BHD,151.6881,2025-11-26
BHD,151.5645,2025-11-27
BHD,151.4589,2025-11-28
BHD,151.4589,2025-11-29
BHD,151.4589,2025-11-30
BND,42.6631,2025-11-01
BND,42.6631,2025-11-02
BND,42.6631,2025-11-03
BND,42.658,2025-11-04
BND,42.715,2025-11-05
BND,42.7745,2025-11-06
BND,42.8251,2025-11-07
BND,42.8251,2025-11-08
BND,42.8251,2025-11-09
BND,42.8712,2025-11-10
BND,42.8741,2025-11-11
BND,42.943,2025-11-12
BND,42.951,2025-11-13
BND,42.9814,2025-11-14
BND,42.9814,2025-11-15
BND,42.9814,2025-11-16
BND,43.0121,2025-11-17
BND,42.973,2025-11-18
BND,42.9212,2025-11-19
BND,42.8994,2025-11-20
BND,42.986,2025-11-21
BND,42.986,2025-11-22
BND,42.986,2025-11-23
BND,42.915,2025-11-24
BND,42.8742,2025-11-25
BND,42.8732,2025-11-26
BND,42.822,2025-11-27
BND,42.7811,2025-11-28
BND,42.7811,2025-11-29
BND,42.7811,2025-11-30
BRL,10.021,2025-11-01
BRL,10.021,2025-11-02
BRL,10.021,2025-11-03
BRL,10.0341,2025-11-04
BRL,10.089,2025-11-05
BRL,10.0911,2025-11-06
BRL,10.125,2025-11-07
BRL,10.125,2025-11-08
BRL,10.125,2025-11-09
BRL,10.1645,2025-11-10
BRL,10.1712,2025-11-11
BRL,10.224,2025-11-12
BRL,10.2311,2025-11-13
BRL,10.284,2025-11-14
BRL,10.284,2025-11-15
BRL,10.284,2025-11-16
BRL,10.2612,2025-11-17
BRL,10.214,2025-11-18
BRL,10.198,2025-11-19
BRL,10.1852,2025-11-20
BRL,10.241,2025-11-21
BRL,10.241,2025-11-22
BRL,10.241,2025-11-23
BRL,10.2215,2025-11-24
BRL,10.2109,2025-11-25
BRL,10.2045,2025-11-26
BRL,10.184,2025-11-27
BRL,10.151,2025-11-28
BRL,10.151,2025-11-29
BRL,10.151,2025-11-30
CAD,41.652,2025-11-01
CAD,41.652,2025-11-02
CAD,41.652,2025-11-03
CAD,41.5841,2025-11-04
CAD,41.5125,2025-11-05
CAD,41.489,2025-11-06
CAD,41.4215,2025-11-07
CAD,41.4215,2025-11-08
CAD,41.4215,2025-11-09
CAD,41.492,2025-11-10
CAD,41.511,2025-11-11
CAD,41.5842,2025-11-12
CAD,41.621,2025-11-13
CAD,41.685,2025-11-14
CAD,41.685,2025-11-15
CAD,41.685,2025-11-16
CAD,41.642,2025-11-17
CAD,41.5912,2025-11-18
CAD,41.524,2025-11-19
CAD,41.4915,2025-11-20
CAD,41.554,2025-11-21
CAD,41.554,2025-11-22
CAD,41.554,2025-11-23
CAD,41.5108,2025-11-24
CAD,41.462,2025-11-25
CAD,41.4211,2025-11-26
CAD,41.458,2025-11-27
CAD,41.522,2025-11-28
CAD,41.522,2025-11-29
CAD,41.522,2025-11-30
CHF,64.8115,2025-11-01
CHF,64.8115,2025-11-02
CHF,64.8115,2025-11-03
CHF,64.712,2025-11-04
CHF,64.624,2025-11-05
CHF,64.551,2025-11-06
CHF,64.4825,2025-11-07
CHF,64.4825,2025-11-08
CHF,64.4825,2025-11-09
CHF,64.594,2025-11-10
CHF,64.6852,2025-11-11
CHF,64.811,2025-11-12
CHF,64.895,2025-11-13
CHF,64.9542,2025-11-14
CHF,64.9542,2025-11-15
CHF,64.9542,2025-11-16
CHF,64.912,2025-11-17
CHF,64.825,2025-11-18
CHF,64.7142,2025-11-19
CHF,64.631,2025-11-20
CHF,64.748,2025-11-21
CHF,64.748,2025-11-22
CHF,64.748,2025-11-23
CHF,64.692,2025-11-24
CHF,64.615,2025-11-25
CHF,64.5712,2025-11-26
CHF,64.624,2025-11-27
CHF,64.7215,2025-11-28
CHF,64.7215,2025-11-29
CHF,64.7215,2025-11-30
CNY,8.0312,2025-11-01
CNY,8.0312,2025-11-02
CNY,8.0312,2025-11-03
CNY,8.0195,2025-11-04
CNY,8.0245,2025-11-05
CNY,8.031,2025-11-06
CNY,8.0415,2025-11-07
CNY,8.0415,2025-11-08
CNY,8.0415,2025-11-09
CNY,8.052,2025-11-10
CNY,8.0584,2025-11-11
CNY,8.0675,2025-11-12
CNY,8.069,2025-11-13
CNY,8.0715,2025-11-14
CNY,8.0715,2025-11-15
CNY,8.0715,2025-11-16
CNY,8.0682,2025-11-17
CNY,8.059,2025-11-18
CNY,8.0512,2025-11-19
CNY,8.053,2025-11-20
CNY,8.0745,2025-11-21
CNY,8.0745,2025-11-22
CNY,8.0745,2025-11-23
CNY,8.063,2025-11-24
CNY,8.0525,2025-11-25
CNY,8.049,2025-11-26
CNY,8.0412,2025-11-27
CNY,8.036,2025-11-28
CNY,8.036,2025-11-29
CNY,8.036,2025-11-30
DKK,8.3845,2025-11-01
DKK,8.3845,2025-11-02
DKK,8.3845,2025-11-03
DKK,8.369,2025-11-04
DKK,8.3512,2025-11-05
DKK,8.341,2025-11-06
DKK,8.3285,2025-11-07
DKK,8.3285,2025-11-08
DKK,8.3285,2025-11-09
DKK,8.342,2025-11-10
DKK,8.3545,2025-11-11
DKK,8.3712,2025-11-12
DKK,8.385,2025-11-13
DKK,8.3965,2025-11-14
DKK,8.3965,2025-11-15
DKK,8.3965,2025-11-16
DKK,8.389,2025-11-17
DKK,8.3752,2025-11-18
DKK,8.361,2025-11-19
DKK,8.3495,2025-11-20
DKK,8.368,2025-11-21
DKK,8.368,2025-11-22
DKK,8.368,2025-11-23
DKK,8.3542,2025-11-24
DKK,8.341,2025-11-25
DKK,8.3325,2025-11-26
DKK,8.3412,2025-11-27
DKK,8.356,2025-11-28
DKK,8.356,2025-11-29
DKK,8.356,2025-11-30
EUR,62.485,2025-11-01
EUR,62.485,2025-11-02
EUR,62.485,2025-11-03
EUR,62.381,2025-11-04
EUR,62.2415,2025-11-05
EUR,62.185,2025-11-06
EUR,62.091,2025-11-07
EUR,62.091,2025-11-08
EUR,62.091,2025-11-09
EUR,62.184,2025-11-10
EUR,62.2915,2025-11-11
EUR,62.412,2025-11-12
EUR,62.515,2025-11-13
EUR,62.6045,2025-11-14
EUR,62.6045,2025-11-15
EUR,62.6045,2025-11-16
EUR,62.551,2025-11-17
EUR,62.4412,2025-11-18
EUR,62.321,2025-11-19
EUR,62.2395,2025-11-20
EUR,62.384,2025-11-21
EUR,62.384,2025-11-22
EUR,62.384,2025-11-23
EUR,62.2715,2025-11-24
EUR,62.164,2025-11-25
EUR,62.109,2025-11-26
EUR,62.1812,2025-11-27
EUR,62.294,2025-11-28
EUR,62.294,2025-11-29
EUR,62.294,2025-11-30
GBP,73.541,2025-11-01
GBP,73.541,2025-11-02
GBP,73.541,2025-11-03
GBP,73.4112,2025-11-04
GBP,73.284,2025-11-05
GBP,73.2105,2025-11-06
GBP,73.114,2025-11-07
GBP,73.114,2025-11-08
GBP,73.114,2025-11-09
GBP,73.2415,2025-11-10
GBP,73.361,2025-11-11
GBP,73.522,2025-11-12
GBP,73.645,2025-11-13
GBP,73.7412,2025-11-14
GBP,73.7412,2025-11-15
GBP,73.7412,2025-11-16
GBP,73.682,2025-11-17
GBP,73.554,2025-11-18
GBP,73.4115,2025-11-19
GBP,73.3108,2025-11-20
GBP,73.484,2025-11-21
GBP,73.484,2025-11-22
GBP,73.484,2025-11-23
GBP,73.3512,2025-11-24
GBP,73.224,2025-11-25
GBP,73.151,2025-11-26
GBP,73.2415,2025-11-27
GBP,73.382,2025-11-28
GBP,73.382,2025-11-29
GBP,73.382,2025-11-30
HKD,7.5124,2025-11-01
HKD,7.5124,2025-11-02
HKD,7.5124,2025-11-03
HKD,7.5098,2025-11-04
HKD,7.5182,2025-11-05
HKD,7.521,2025-11-06
HKD,7.5234,2025-11-07
HKD,7.5234,2025-11-08
HKD,7.5234,2025-11-09
HKD,7.5251,2025-11-10
HKD,7.5248,2025-11-11
HKD,7.5262,2025-11-12
HKD,7.5284,2025-11-13
HKD,7.5291,2025-11-14
HKD,7.5291,2025-11-15
HKD,7.5291,2025-11-16
