currency_code,rate,date
AED,16.0331,2026-01-30
AED,16.055,2026-02-02
AED,16.0328,2026-02-03
AED,16.0274,2026-02-04
AED,16.0549,2026-02-05
AED,16.0178,2026-02-06
AED,16.0178,2026-02-07
AED,16.0178,2026-02-08
AED,15.9598,2026-02-09
AED,15.9119,2026-02-10
AED,15.9258,2026-02-11
AED,15.8988,2026-02-12
AED,15.9258,2026-02-13
AED,15.9258,2026-02-14
AED,15.9258,2026-02-15
AED,15.8113,2026-02-16
AED,15.8113,2026-02-17
AED,15.7829,2026-02-18
AED,15.7764,2026-02-19
AED,15.7828,2026-02-20
AED,15.7828,2026-02-21
AED,15.7828,2026-02-22
AED,15.8294,2026-02-23
AED,15.7329,2026-02-24
AED,15.7192,2026-02-25
AED,15.6816,2026-02-26
AED,15.6699,2026-02-27
AED,15.6699,2026-02-28
ARS,0.0408,2026-01-30
ARS,0.0407,2026-02-02
ARS,0.0407,2026-02-03
ARS,0.0408,2026-02-04
ARS,0.0407,2026-02-05
ARS,0.0408,2026-02-06
ARS,0.0408,2026-02-07
ARS,0.0408,2026-02-08
ARS,0.041,2026-02-09
ARS,0.0413,2026-02-10
ARS,0.0417,2026-02-11
ARS,0.0416,2026-02-12
ARS,0.0417,2026-02-13
ARS,0.0417,2026-02-14
ARS,0.0417,2026-02-15
ARS,0.0415,2026-02-16
ARS,0.0415,2026-02-17
ARS,0.0416,2026-02-18
ARS,0.0415,2026-02-19
ARS,0.0417,2026-02-20
ARS,0.0417,2026-02-21
ARS,0.0417,2026-02-22
ARS,0.0423,2026-02-23
ARS,0.0422,2026-02-24
ARS,0.0418,2026-02-25
ARS,0.0412,2026-02-26
ARS,0.0409,2026-02-27
ARS,0.0409,2026-02-28
AUD,41.4925,2026-01-30
AUD,40.973,2026-02-02
AUD,40.9088,2026-02-03
AUD,40.9088,2026-02-04
AUD,41.2599,2026-02-05
AUD,40.7318,2026-02-06
AUD,40.7318,2026-02-07
AUD,40.7318,2026-02-08
AUD,41.0743,2026-02-09
AUD,41.4419,2026-02-10
AUD,41.3695,2026-02-11
AUD,41.6109,2026-02-12
AUD,41.4419,2026-02-13
AUD,41.4419,2026-02-14
AUD,41.4419,2026-02-15
AUD,40.9955,2026-02-16
AUD,40.9955,2026-02-17
AUD,41.0553,2026-02-18
AUD,40.797,2026-02-19
AUD,40.911,2026-02-20
AUD,40.911,2026-02-21
AUD,40.911,2026-02-22
AUD,41.1421,2026-02-23
AUD,40.7515,2026-02-24
AUD,40.7222,2026-02-25
AUD,41.0263,2026-02-26
AUD,40.8864,2026-02-27
